zipconvert2,zipconvert3,zipconvert4,zipconvert5,homeowner,num_child,income,female,wealth,home_value,med_fam_inc,avg_fam_inc,pct_lt15k,num_prom,lifetime_gifts,largest_gift,last_gift,months_since_donate,time_lag,avg_gift
No,No,No,Yes,Yes,1,4,Yes,8,1237,398,386,15,48,45,6,3,31,12,4.090909091
Yes,No,No,No,Yes,1,5,No,8,399,271,295,28,53,107,14,12,31,3,10.7
No,No,No,Yes,Yes,1,4,Yes,4,1209,408,450,12,50,98,13,11,37,13,9.8
No,No,No,Yes,Yes,1,7,No,9,5413,787,781,9,58,68,15,15,34,3,8.5
No,Yes,No,No,Yes,1,4,Yes,8,474,279,321,16,36,43,12,12,31,11,7.166666667
No,No,No,Yes,Yes,1,2,Yes,8,956,248,321,24,16,15,15,15,37,5,15
No,Yes,No,No,Yes,1,2,Yes,3,350,292,299,11,56,169,12,10,36,5,8.894736842
No,Yes,No,No,No,1,2,No,2,575,293,334,18,58,161,20,14,31,4,13.41666667
No,No,No,Yes,No,1,2,Yes,4,2688,367,449,4,67,121,12,12,36,0,8.642857143
No,Yes,No,No,Yes,1,5,Yes,8,470,290,331,20,34,52,15,15,31,5,8.666666667
Yes,No,No,No,Yes,1,4,Yes,8,591,296,344,14,27,57,13,12,28,9,11.4
No,No,Yes,No,Yes,1,4,Yes,5,1069,454,437,11,57,111,15,12,35,6,10.09090909
No,Yes,No,No,Yes,1,6,Yes,8,405,215,265,28,20,30,20,20,31,6,15
No,No,Yes,No,Yes,1,2,Yes,3,338,250,265,23,54,138,15,15,37,4,11.5
No,No,No,Yes,Yes,1,4,Yes,8,2757,472,578,4,57,63,10,10,30,9,5.25
No,No,No,Yes,Yes,1,2,Yes,8,514,278,315,14,58,82,11,8,37,26,7.454545455
No,No,No,Yes,Yes,1,4,No,1,2247,602,605,3,47,52,7,5,34,4,3.25
No,No,No,Yes,Yes,1,4,Yes,8,695,398,419,9,42,123,36,36,37,8,30.75
No,No,No,Yes,No,1,2,Yes,8,594,158,202,47,26,31,6,5,28,2,5.166666667
No,Yes,No,No,Yes,1,7,No,8,1097,565,605,4,32,64,15,15,35,3,10.66666667
No,No,Yes,No,No,1,5,Yes,8,658,347,385,9,21,20,10,10,31,2,6.666666667
No,No,Yes,No,Yes,1,5,No,6,1210,418,507,7,46,78,15,15,37,1,11.14285714
No,No,No,Yes,No,1,5,No,9,4672,534,609,3,49,89,13,10,30,10,9.888888889
No,No,Yes,No,No,1,6,Yes,8,458,310,332,20,15,20,20,20,37,5,20
No,No,Yes,No,Yes,2,5,Yes,8,1525,667,724,3,65,92,15,3,22,6,7.076923077
Yes,No,No,No,Yes,1,4,Yes,8,536,332,331,18,15,20,20,20,37,5,20
No,Yes,No,No,Yes,1,5,Yes,7,738,473,494,5,43,68,20,20,37,6,11.33333333
No,No,Yes,No,Yes,1,4,No,8,1213,467,516,9,45,51.5,5,3,31,4,3.21875
No,Yes,No,No,Yes,1,2,Yes,1,429,291,334,18,64,169,17,15,33,12,12.07142857
No,No,No,Yes,No,1,1,No,8,1316,271,298,26,26,57,21,21,29,7,19
No,No,No,Yes,Yes,1,4,Yes,3,1034,455,482,0,83,141,10,8,30,5,7.05
No,No,Yes,No,No,1,1,Yes,0,406,336,361,17,71,245,13,7,31,8,9.423076923
No,No,No,Yes,Yes,1,7,Yes,8,1111,357,413,5,24,38,12,12,28,5,9.5
No,Yes,No,No,Yes,1,5,Yes,7,651,449,467,12,36,45,10,10,29,6,7.5
No,No,Yes,No,Yes,1,4,No,6,1401,756,812,2,52,246,32,25,31,3,17.57142857
No,No,No,Yes,No,1,5,No,7,1866,506,506,5,38,36,15,15,37,11,9
No,No,No,Yes,Yes,1,5,No,4,1927,385,400,10,70,97,6,5,30,11,4.619047619
Yes,No,No,No,Yes,1,3,No,6,1110,353,405,7,64,350,100,100,21,11,31.81818182
No,No,Yes,No,Yes,1,4,Yes,8,1205,510,588,2,27,72,40,22,33,5,24
No,No,No,Yes,No,1,2,Yes,8,3206,430,523,9,26,33,11,10,34,7,8.25
No,Yes,No,No,Yes,4,7,No,8,1688,736,758,3,29,47,17,17,33,8,15.66666667
No,Yes,No,No,Yes,1,4,Yes,8,704,311,351,21,37,88,9,5,17,6,6.285714286
No,No,Yes,No,No,1,6,No,8,564,378,408,2,66,105,13,13,34,10,8.076923077
No,Yes,No,No,Yes,1,3,Yes,8,449,360,373,13,31,50,5,5,29,3,4.545454546
Yes,No,No,No,Yes,1,4,Yes,5,1330,547,648,3,44,49,5,4,31,1,3.5
No,Yes,No,No,Yes,1,4,No,8,837,534,567,9,66,80,10,7,20,8,5.333333333
No,No,Yes,No,Yes,1,3,No,4,270,238,272,29,74,82,5,3,21,3,3.727272727
No,No,Yes,No,Yes,1,5,Yes,8,631,407,457,13,31,33,10,3,34,6,4.714285714
Yes,No,No,No,Yes,1,5,Yes,8,460,229,267,33,28,36,16,16,35,9,12
No,No,No,Yes,No,1,3,Yes,8,1125,309,280,31,39,45,10,10,31,14,7.5
No,Yes,No,No,Yes,1,6,Yes,8,1126,609,657,3,18,25,25,25,37,5,25
No,Yes,No,No,Yes,1,4,No,2,604,259,295,23,56,80,5,5,33,2,2.962962963
No,No,No,Yes,No,1,2,No,8,412,240,299,25,61,238,25,25,19,0,21.63636364
No,No,Yes,No,Yes,1,5,No,8,1207,601,594,0,46,105,15,10,29,7,10.5
No,No,Yes,No,No,1,3,Yes,8,951,264,340,28,70,306,25,20,18,2,15.3
