zipconvert2,zipconvert3,zipconvert4,zipconvert5,homeowner,num_child,income,female,wealth,home_value,med_fam_inc,avg_fam_inc,pct_lt15k,num_prom,lifetime_gifts,largest_gift,last_gift,months_since_donate,time_lag,avg_gift,target
Yes,No,No,No,No,1,1,No,9,1516,597,668,4,61,128,40,40,29,14,21.33333333,No Donor
No,Yes,No,No,Yes,1,2,No,4,702,324,357,11,52,70,10,10,33,3,6.363636364,Donor
No,Yes,No,No,Yes,1,1,No,4,578,376,399,13,86,121,5,3,30,9,3.457142857,No Donor
No,No,No,Yes,Yes,1,4,No,6,643,363,423,12,56,68,7,4,28,4,4.533333333,Donor
No,No,Yes,No,Yes,1,4,Yes,2,359,221,237,27,61,128,20,15,36,17,14.22222222,Donor
No,No,No,Yes,Yes,1,6,No,8,3408,581,632,3,21,25,20,20,33,3,12.5,Donor
No,No,Yes,No,Yes,1,5,Yes,8,1080,521,529,8,21,20,15,15,32,5,10,Donor
No,No,Yes,No,Yes,1,4,No,5,437,354,356,16,83,194,10,6,28,4,4.217391304,Donor
No,No,No,Yes,No,1,5,Yes,8,2124,526,554,2,28,49,20,10,31,2,8.166666667,No Donor
No,No,No,Yes,No,1,2,Yes,8,1505,359,445,12,47,77,11,8,28,11,7.7,No Donor
No,No,No,Yes,Yes,1,4,Yes,8,1531,305,351,17,19,30,30,30,37,5,30,Donor
No,No,No,Yes,No,1,2,Yes,8,1631,331,400,14,24,31,10,10,28,6,7.75,No Donor
No,No,No,Yes,Yes,1,5,Yes,8,1473,332,370,14,32,70,15,15,28,2,10,No Donor
No,No,Yes,No,No,1,6,Yes,8,1305,530,597,5,16,28,25,25,30,15,14,No Donor
No,No,Yes,No,Yes,1,4,Yes,3,806,347,354,15,76,119,15,10,31,10,10.81818182,Donor
Yes,No,No,No,Yes,1,4,Yes,3,525,277,278,24,52,157,10,7,28,6,7.136363636,Donor
No,Yes,No,No,Yes,1,4,Yes,8,306,181,204,38,21,45,35,35,29,7,22.5,No Donor
No,No,No,Yes,Yes,1,4,Yes,8,910,245,370,28,72,182,15,10,33,4,9.1,No Donor
Yes,No,No,No,No,1,5,Yes,1,550,296,304,20,101,154,20,20,23,3,14,No Donor
No,No,Yes,No,No,1,3,Yes,5,422,290,319,18,66,132,16,10,31,5,9.428571429,Donor
No,No,No,Yes,Yes,1,6,Yes,8,4218,711,762,0,54,43,5,3,29,6,3.307692308,No Donor
No,No,Yes,No,No,1,4,Yes,8,567,279,327,20,24,48,16,16,35,2,12,No Donor
Yes,No,No,No,Yes,1,7,No,8,1586,762,823,0,21,26,16,16,37,5,13,No Donor
No,Yes,No,No,No,1,1,No,8,745,438,446,5,54,63,12,12,26,2,9,No Donor
No,No,No,Yes,Yes,1,6,Yes,8,578,258,315,28,22,40,20,20,37,7,20,Donor
No,No,No,Yes,No,1,5,No,8,3361,719,760,2,17,25,25,25,37,5,25,No Donor
No,Yes,No,No,No,1,5,No,8,625,368,489,6,34,30,10,7,32,14,6,No Donor
Yes,No,No,No,Yes,1,4,No,8,1115,349,465,17,21,30,20,20,33,15,15,Donor
No,No,No,Yes,Yes,3,6,Yes,8,2968,590,631,2,74,161.25,15,15,19,11,5.201612903,No Donor
Yes,No,No,No,Yes,1,2,Yes,7,645,377,362,12,82,120,10,10,17,6,4.285714286,Donor
No,No,No,Yes,Yes,1,3,No,8,869,304,410,10,26,35,10,10,32,6,8.75,Donor
No,Yes,No,No,Yes,1,4,No,8,512,289,271,25,34,114,15,13,32,3,11.4,No Donor
No,No,No,Yes,No,1,5,No,8,2194,464,506,6,43,119,30,22,23,1,10.81818182,Donor
No,No,Yes,No,Yes,1,3,No,0,250,164,228,47,57,102,7,5,28,4,4.434782609,Donor
No,No,No,Yes,Yes,1,1,No,4,1723,366,427,3,67,370,20,13,36,2,12.33333333,No Donor
No,Yes,No,No,Yes,1,5,Yes,5,573,315,367,15,70,145,15,10,37,2,9.0625,Donor
No,No,Yes,No,Yes,1,3,No,9,840,522,561,9,80,204,9,7,30,3,6.181818182,Donor
No,No,Yes,No,No,1,3,No,5,622,339,377,13,87,241,17,15,23,5,13.38888889,Donor
No,No,No,Yes,Yes,1,2,Yes,0,913,239,288,36,69,304,50,50,37,4,25.33333333,No Donor
No,No,No,Yes,No,1,7,No,8,2827,616,620,0,40,61,19,19,30,11,12.2,Donor
No,Yes,No,No,Yes,1,4,Yes,8,711,465,495,4,48,46,10,10,31,10,5.111111111,Donor
No,No,No,Yes,Yes,1,4,Yes,8,2810,477,541,12,29,34,6,6,31,1,4.857142857,No Donor
No,No,No,Yes,Yes,1,4,Yes,8,1969,531,563,11,16,20,20,20,36,5,20,Donor
No,No,No,Yes,No,1,1,Yes,0,2582,148,207,52,52,150,50,50,37,3,30,No Donor
No,No,No,Yes,Yes,1,4,Yes,8,3850,583,667,3,33,50,16,16,31,10,12.5,Donor
No,Yes,No,No,Yes,1,6,Yes,5,953,383,388,20,49,64,10,10,33,4,6.4,No Donor
No,Yes,No,No,No,2,2,Yes,8,623,379,388,6,43,37,9,5,29,3,3.7,No Donor
No,No,Yes,No,Yes,1,4,No,8,921,493,527,0,77,214,15,11,29,7,8.230769231,No Donor
No,No,No,Yes,No,1,5,No,8,1007,330,366,15,18,25,25,25,37,5,25,No Donor
No,No,No,Yes,Yes,1,5,Yes,8,921,386,385,7,37,70,20,20,31,9,10,No Donor
No,No,No,Yes,Yes,2,2,Yes,6,1541,488,497,13,69,140,13,6,30,5,7,No Donor
No,No,No,Yes,Yes,1,4,Yes,9,1523,374,376,9,72,94,10,10,31,11,6.266666667,Donor
No,No,No,Yes,Yes,1,3,No,8,422,250,320,20,24,44,12,12,29,3,11,No Donor
No,Yes,No,No,Yes,1,7,No,8,504,311,315,15,23,20,15,15,36,7,10,No Donor
No,No,Yes,No,Yes,1,4,No,8,437,313,363,10,15,20,20,20,37,5,20,Donor
No,Yes,No,No,No,1,1,Yes,4,383,296,336,16,32,36,16,16,36,14,12,No Donor
No,Yes,No,No,No,1,1,Yes,8,332,399,403,4,24,29,11,8,29,6,7.25,No Donor
Yes,No,No,No,Yes,1,4,No,8,561,268,292,24,25,44,10,10,32,2,8.8,No Donor
No,No,No,Yes,No,1,2,Yes,1,761,236,285,25,79,205,10,5,28,14,5,No Donor
No,No,Yes,No,Yes,1,7,Yes,8,3984,1500,1125,10,35,101,24,21,36,4,20.2,No Donor
No,No,Yes,No,Yes,1,4,No,8,869,541,602,0,69,114,7,6,35,9,5.181818182,Donor
No,Yes,No,No,No,1,3,No,2,674,259,327,19,36,50,12,12,30,7,8.333333333,Donor
No,No,No,Yes,Yes,1,3,No,6,2441,474,512,12,33,48,12,11,35,15,9.6,No Donor
No,No,No,Yes,Yes,1,4,Yes,8,2505,502,580,3,29,50,20,15,20,3,12.5,Donor
Yes,No,No,No,No,1,1,Yes,3,497,267,325,18,66,119,10,6,29,4,5.666666667,Donor
No,No,No,Yes,Yes,1,5,Yes,7,535,363,386,0,53,115,35,35,33,13,23,No Donor
Yes,No,No,No,Yes,1,6,No,8,1311,363,410,19,15,20,20,20,37,5,20,Donor
No,No,Yes,No,Yes,1,4,Yes,9,2130,724,791,7,73,189,25,20,36,2,15.75,No Donor
Yes,No,No,No,Yes,1,5,Yes,8,1011,441,483,6,29,36,7,7,33,4,6,No Donor
No,Yes,No,No,Yes,1,4,No,5,627,433,407,4,56,115,12,4,34,10,6.764705882,No Donor
No,No,Yes,No,Yes,1,4,Yes,8,702,457,510,2,105,183,15,5,17,1,7.625,No Donor
No,Yes,No,No,No,1,1,No,8,409,294,337,18,55,67,6,6,30,6,3.722222222,Donor
No,No,No,Yes,Yes,1,4,No,7,1749,624,685,6,59,128,7,5,28,3,5.12,Donor
No,Yes,No,No,Yes,1,4,No,4,679,432,448,3,77,140.5,10,10,37,8,5.403846154,Donor
No,No,No,Yes,Yes,1,4,Yes,8,824,290,375,11,49,41,5,5,30,3,3.727272727,Donor
No,No,No,Yes,Yes,1,7,No,8,1324,568,599,4,36,68,10,5,31,13,5.666666667,Donor
No,Yes,No,No,Yes,1,4,Yes,5,466,356,375,8,75,159,25,5,28,13,4.076923077,No Donor
Yes,No,No,No,Yes,1,6,No,9,3538,759,817,4,135,555,15,10,18,6,6.098901099,Donor
No,No,No,Yes,No,1,3,No,8,1692,388,440,8,57,104,12,12,30,5,8.666666667,Donor
Yes,No,No,No,Yes,1,4,No,8,2088,560,635,6,17,42,22,22,29,7,21,No Donor
Yes,No,No,No,No,2,4,No,3,931,435,477,5,43,109,10,9,31,8,6.411764706,No Donor
Yes,No,No,No,Yes,1,6,No,5,1430,336,457,19,58,74,10,6,34,8,6.166666667,Donor
No,No,No,Yes,No,1,2,Yes,8,2809,657,718,1,21,36,10,8,28,1,7.2,No Donor
No,Yes,No,No,No,1,2,No,8,610,360,393,14,64,83,15,10,32,22,9.222222222,No Donor
No,No,No,Yes,Yes,1,4,Yes,8,5177,845,892,6,24,26,16,16,36,5,13,No Donor
No,No,No,Yes,Yes,1,4,No,8,2962,613,709,0,64,111,15,15,28,13,10.09090909,Donor
Yes,No,No,No,Yes,1,4,Yes,8,409,244,285,25,43,90,25,25,26,4,22.5,No Donor
Yes,No,No,No,Yes,1,4,Yes,3,489,290,314,20,68,123,15,5,28,7,6.473684211,No Donor
No,Yes,No,No,Yes,1,4,Yes,4,718,308,332,21,68,159,5,5,30,5,3.613636364,Donor
No,No,No,Yes,Yes,1,4,No,1,1348,361,454,14,98,214.5,15,10,19,3,6.919354839,Donor
No,No,No,Yes,Yes,1,4,Yes,0,414,190,197,40,76,383,15,13,29,7,10.07894737,No Donor
Yes,No,No,No,No,1,2,No,5,379,238,250,25,77,137,10,5,29,3,4.151515152,No Donor
No,Yes,No,No,No,1,3,No,7,1122,441,545,12,83,275,17,15,37,6,10.57692308,Donor
No,No,No,Yes,Yes,1,4,Yes,8,1030,291,307,25,17,20,20,20,36,5,20,Donor
No,Yes,No,No,Yes,1,4,No,8,721,423,486,6,33,70,6,6,29,3,5,No Donor
No,No,Yes,No,Yes,1,5,No,6,791,360,393,22,63,184,15,10,30,9,11.5,No Donor
No,Yes,No,No,Yes,1,4,No,3,379,220,255,24,44,126,10,10,37,6,8.4,No Donor
No,No,No,Yes,Yes,1,4,No,9,3014,530,640,2,69,71,5,4,30,18,3.380952381,No Donor
No,Yes,No,No,Yes,1,5,Yes,9,1174,582,619,3,64,81,7,7,28,5,3.857142857,Donor
No,Yes,No,No,No,1,7,Yes,5,708,460,567,3,60,132,12,10,34,3,7.764705882,No Donor
Yes,No,No,No,Yes,1,3,No,4,543,282,335,14,77,213,7,5,32,2,5.071428571,Donor
No,No,Yes,No,Yes,1,6,No,8,600,277,307,27,21,34,12,12,30,5,11.33333333,Donor
No,No,No,Yes,Yes,1,4,No,6,2080,525,533,4,58,122,12,8,28,8,7.176470588,No Donor
No,No,No,Yes,Yes,1,7,Yes,8,2015,783,787,7,21,26,16,16,37,5,13,No Donor
Yes,No,No,No,Yes,1,5,No,8,877,454,482,5,16,20,20,20,37,5,20,Donor
No,Yes,No,No,Yes,1,4,No,1,321,232,267,27,42,64,15,15,37,8,9.142857143,No Donor
No,No,Yes,No,Yes,1,4,Yes,3,878,415,430,10,58,85,7,5,31,2,4.473684211,Donor
No,Yes,No,No,Yes,1,1,No,8,654,363,393,9,71,124.5,15,15,30,4,6.552631579,No Donor
No,Yes,No,No,Yes,1,5,No,8,823,462,536,0,23,30,20,20,37,5,15,No Donor
Yes,No,No,No,No,2,3,Yes,8,841,464,498,4,29,64,10,7,29,1,8,Donor
No,Yes,No,No,Yes,1,4,Yes,2,345,257,271,30,45,80,10,5,29,11,8.888888889,No Donor
No,No,No,Yes,Yes,2,7,Yes,8,1198,556,590,6,60,101,10,10,34,6,6.3125,No Donor
No,No,No,Yes,No,1,6,Yes,8,594,400,411,10,108,321,20,20,28,3,13.95652174,No Donor
No,Yes,No,No,Yes,1,4,Yes,5,598,363,420,10,46,122,25,15,30,1,15.25,No Donor
No,No,No,Yes,No,1,3,Yes,8,2492,358,377,6,62,104,25,10,17,10,11.55555556,Donor
No,No,Yes,No,Yes,1,2,Yes,9,976,578,563,6,70,189,25,22,37,5,17.18181818,Donor
No,No,No,Yes,Yes,1,7,No,8,938,492,536,10,20,25,20,20,31,6,12.5,Donor
No,No,No,Yes,No,1,1,Yes,0,643,298,376,20,76,112,20,10,36,3,11.2,No Donor
No,No,No,Yes,Yes,1,4,No,1,865,262,328,21,53,120,20,16,37,4,9.230769231,No Donor
Yes,No,No,No,Yes,2,7,No,8,1613,516,572,9,26,97,40,32,32,5,32.33333333,Donor
No,No,No,Yes,No,1,3,No,8,661,291,334,19,15,20,20,20,37,5,20,No Donor
No,No,Yes,No,Yes,1,4,Yes,8,782,323,357,27,16,32,12,12,29,0,10.66666667,No Donor
No,Yes,No,No,Yes,1,1,No,4,805,318,344,29,74,213,15,10,33,6,11.21052632,No Donor
No,No,No,Yes,Yes,1,4,Yes,8,2721,208,282,33,24,101,32,32,31,2,25.25,No Donor
No,No,No,Yes,No,1,1,Yes,8,729,390,424,6,48,142,20,18,28,2,15.77777778,Donor
Yes,No,No,No,No,1,1,No,6,1522,388,453,12,56,71,12,12,29,27,7.888888889,No Donor
No,No,No,Yes,Yes,1,5,No,8,3695,452,491,13,51,82,8,7,28,37,5.466666667,Donor
No,No,No,Yes,Yes,3,6,No,6,2932,612,656,1,38,73,17,15,35,4,14.6,No Donor
No,No,No,Yes,Yes,1,4,No,8,1086,382,440,12,22,35,15,10,37,4,11.66666667,No Donor
No,Yes,No,No,Yes,1,5,Yes,8,687,365,463,5,32,44,6,6,31,5,4.4,Donor
No,No,No,Yes,No,1,5,No,3,453,267,277,24,57,129,12,10,28,6,8.0625,No Donor
No,Yes,No,No,No,1,1,Yes,8,812,425,464,7,57,174,25,25,36,2,17.4,No Donor
No,No,No,Yes,No,1,2,No,8,1557,317,393,8,32,44,7,7,28,6,5.5,Donor
Yes,No,No,No,Yes,1,5,No,8,982,399,446,9,29,50,15,10,32,4,10,No Donor
No,No,No,Yes,Yes,1,3,No,4,1157,405,422,10,35,52,13,12,31,5,8.666666667,No Donor
No,No,No,Yes,Yes,1,6,No,8,1464,308,380,14,28,51,10,10,28,2,7.285714286,Donor
Yes,No,No,No,Yes,1,2,Yes,2,417,251,240,29,43,85,10,5,31,6,6.538461539,Donor
No,No,No,Yes,Yes,1,6,No,5,1760,388,485,3,68,142,20,20,37,7,11.83333333,Donor
No,No,No,Yes,Yes,1,4,No,8,3002,552,627,3,68,118,10,5,28,4,6.210526316,No Donor
No,No,Yes,No,Yes,1,7,Yes,5,486,321,353,18,83,227,10,5,28,3,5.279069767,Donor
No,No,Yes,No,Yes,1,7,No,8,1869,804,833,1,30,47,8,8,30,1,5.875,No Donor
No,No,No,Yes,No,1,1,Yes,8,652,266,377,16,24,20,15,15,37,11,10,No Donor
Yes,No,No,No,Yes,1,6,Yes,8,843,314,328,3,21,28,11,7,29,1,7,Donor
Yes,No,No,No,Yes,1,5,No,1,409,206,256,28,93,189,15,10,28,4,10.5,No Donor
No,Yes,No,No,Yes,1,1,No,4,633,322,343,12,79,184,17,16,31,6,9.684210526,No Donor
No,No,No,Yes,Yes,2,5,Yes,6,2016,566,632,0,64,180,20,15,35,2,9,No Donor
No,Yes,No,No,Yes,1,4,Yes,9,933,555,597,2,42,70,15,10,33,10,14,No Donor
Yes,No,No,No,No,1,2,Yes,8,778,374,419,13,23,36,10,10,31,1,7.2,No Donor
Yes,No,No,No,Yes,1,5,No,3,772,269,309,14,108,315,35,20,29,17,26.25,Donor
No,No,No,Yes,No,1,1,Yes,8,765,361,393,15,26,36,16,16,29,8,12,Donor
No,No,Yes,No,No,1,6,No,5,587,308,347,16,64,110,20,0,17,17,15.71428571,No Donor
Yes,No,No,No,Yes,1,1,Yes,4,1368,318,499,0,51,79,20,20,30,17,13.16666667,Donor
No,Yes,No,No,No,1,2,Yes,8,561,368,383,10,43,150,100,100,37,6,75,No Donor
No,No,Yes,No,Yes,1,7,Yes,8,1275,738,799,2,21,25,20,20,36,5,12.5,No Donor
Yes,No,No,No,Yes,1,4,Yes,6,871,371,422,7,63,166,14,10,30,8,9.222222222,No Donor
No,Yes,No,No,Yes,1,5,No,8,665,501,534,7,31,60,20,20,28,9,15,Donor
No,No,No,Yes,Yes,2,5,Yes,9,1014,609,671,4,51,282,25,25,30,6,21.69230769,Donor
No,No,No,Yes,Yes,1,7,No,8,2203,561,569,2,24,35,20,20,33,1,11.66666667,No Donor
Yes,No,No,No,Yes,1,1,Yes,4,581,267,269,17,57,172,17,16,28,14,14.33333333,No Donor
No,Yes,No,No,Yes,1,3,Yes,7,637,317,338,11,83,214,14,5,17,23,8.916666667,Donor
No,No,No,Yes,Yes,1,4,No,7,1634,522,526,5,102,378,25,13,30,6,12.6,Donor
No,No,No,Yes,Yes,1,4,Yes,4,1623,550,564,0,55,172,13,7,31,4,8.190476191,No Donor
No,No,No,Yes,Yes,1,4,No,8,1214,475,543,11,29,35,15,15,30,10,11.66666667,No Donor
No,Yes,No,No,No,1,5,Yes,8,1078,323,398,14,69,69,7,7,31,19,3.833333333,No Donor
No,No,No,Yes,Yes,1,5,No,1,503,229,299,42,62,88,7,6,32,5,5.5,Donor
No,No,Yes,No,Yes,1,4,No,8,1143,446,549,5,17,25,25,25,37,5,25,No Donor
No,No,No,Yes,Yes,1,4,No,8,1479,436,463,11,23,27,15,7,34,7,9,No Donor
No,Yes,No,No,Yes,1,5,No,9,1445,686,703,3,95,333,25,20,25,2,15.13636364,No Donor
No,No,Yes,No,Yes,1,5,Yes,8,709,512,526,4,68,170,20,11,37,6,9.444444444,No Donor
No,No,No,Yes,Yes,1,2,Yes,1,1351,426,429,12,71,151,25,5,19,8,6.04,Donor
No,No,No,Yes,Yes,1,4,Yes,8,2847,494,551,2,21,30,20,20,34,3,15,No Donor
No,Yes,No,No,No,1,3,Yes,4,720,321,357,10,46,70,20,15,36,1,14,No Donor
No,No,No,Yes,Yes,1,3,No,8,3111,347,380,14,34,55,20,20,33,5,13.75,No Donor
Yes,No,No,No,Yes,1,5,Yes,7,888,363,383,18,78,183,10,10,28,9,7.038461539,Donor
No,Yes,No,No,No,1,1,Yes,5,1058,264,329,20,74,185,12,12,31,6,8.043478261,Donor
No,Yes,No,No,Yes,1,6,No,5,838,397,409,12,81,182,23,12,30,2,6.066666667,No Donor
No,No,No,Yes,Yes,1,4,Yes,8,852,372,454,13,26,32,10,10,32,2,6.4,Donor
No,No,No,Yes,Yes,1,3,Yes,8,1488,401,476,11,24,46,20,16,32,5,15.33333333,No Donor
Yes,No,No,No,No,1,1,Yes,8,675,344,372,18,63,68,10,10,31,5,4.857142857,No Donor
Yes,No,No,No,No,1,1,No,3,505,264,299,25,73,87,6,5,31,5,3.782608696,Donor
No,No,No,Yes,Yes,1,1,Yes,0,707,168,279,48,91,511,22,13,31,6,9.462962963,Donor
No,No,No,Yes,Yes,1,4,No,8,1325,290,379,21,49,87,12,10,31,6,9.666666667,No Donor
No,Yes,No,No,Yes,1,4,No,8,572,411,406,5,23,49,17,17,29,6,16.33333333,Donor
Yes,No,No,No,Yes,1,4,No,0,426,228,233,24,55,103,14,12,35,3,10.3,No Donor
No,Yes,No,No,Yes,1,2,Yes,0,171,106,137,59,57,53,5,3,31,5,3.3125,Donor
Yes,No,No,No,Yes,1,5,Yes,8,1029,457,495,1,35,34,5,4,29,2,3.4,No Donor
No,Yes,No,No,No,1,5,No,9,962,421,456,14,43,77,20,20,36,7,12.83333333,No Donor
No,Yes,No,No,Yes,1,2,Yes,7,433,318,309,9,74,180,25,10,37,10,11.25,Donor
Yes,No,No,No,Yes,1,5,Yes,8,1485,647,688,4,22,22,10,7,31,4,7.333333333,Donor
Yes,No,No,No,Yes,1,2,No,6,759,371,408,6,58,112,17,11,31,12,7.466666667,Donor
No,No,No,Yes,Yes,1,4,Yes,8,722,188,251,31,42,45,7,4,29,4,4.090909091,Donor
No,Yes,No,No,Yes,1,1,Yes,8,338,290,299,22,23,28,5,5,28,2,4,No Donor
No,Yes,No,No,Yes,1,4,Yes,8,314,250,279,18,54,54,6,6,28,12,3.857142857,Donor
No,No,Yes,No,Yes,2,4,Yes,8,676,393,426,6,48,63,6,6,30,3,3.15,No Donor
